Tier,Slug,Season_Count,RTW_Seasons,Men_Seasons,Already_Collected,Selected(Y/N),Notes
T8-Minor (1 season),longchamp,1,1,0,N,n,
T8-Minor (1 season),lou-dallas,1,1,0,N,n,
T8-Minor (1 season),lrs,1,1,0,N,n,
T8-Minor (1 season),mara-hoffman,1,1,0,N,n,
T8-Minor (1 season),mary-katrantzou,1,1,0,N,n,
T8-Minor (1 season),melbostad,1,1,0,N,n,
T8-Minor (1 season),meruert-tolegen,1,1,0,N,n,
T8-Minor (1 season),moncler-genius,1,1,0,N,n,
T8-Minor (1 season),nahmias,1,0,1,N,n,
T8-Minor (1 season),nicholas-daley,1,0,1,N,n,
T8-Minor (1 season),nicole-miller,1,1,0,N,n,
T8-Minor (1 season),no-sesso,1,1,0,N,n,
T8-Minor (1 season),oamc,1,0,1,N,n,
T8-Minor (1 season),odissi,1,1,0,N,n,
T8-Minor (1 season),oscar-ouyang,1,1,0,N,n,
T8-Minor (1 season),petra-fagerstrom,1,1,0,N,n,
T8-Minor (1 season),phipps,1,0,1,N,n,
T8-Minor (1 season),preen-by-thornton-bregazzi,1,1,0,N,n,
T8-Minor (1 season),public-school,1,0,1,N,n,
T8-Minor (1 season),rains,1,1,0,N,n,
T8-Minor (1 season),random-identities,1,0,1,N,n,
T8-Minor (1 season),rev,1,1,0,N,n,
T8-Minor (1 season),rolf-ekroth,1,0,1,N,n,
T8-Minor (1 season),rosie-assoulin,1,1,0,N,n,
T8-Minor (1 season),sandro,1,1,0,N,n,
T8-Minor (1 season),sebastien-ami,1,1,0,N,n,
T8-Minor (1 season),self-portrait-residency,1,1,0,N,n,
T8-Minor (1 season),shang-xia,1,1,0,N,n,
T8-Minor (1 season),shinyakozuka,1,0,1,N,n,
T8-Minor (1 season),simorra,1,1,0,N,n,
T8-Minor (1 season),soshiotsuki,1,0,1,N,n,
T8-Minor (1 season),stan,1,0,1,N,n,
T8-Minor (1 season),standing-ground,1,1,0,N,n,
T8-Minor (1 season),studio-189,1,1,0,N,n,
T8-Minor (1 season),sukeina,1,1,0,N,n,
T8-Minor (1 season),sunflower,1,0,1,N,n,
T8-Minor (1 season),system,1,0,1,N,n,
T8-Minor (1 season),takahiromiyashita-the-soloist,1,0,1,N,n,
T8-Minor (1 season),the-frankie-shop,1,1,0,N,n,
T8-Minor (1 season),the-label-edition,1,1,0,N,n,
T8-Minor (1 season),thebe-magugu,1,1,0,N,n,
T8-Minor (1 season),thevxlley,1,1,0,N,n,
T8-Minor (1 season),tia-adeola,1,1,0,N,n,
T8-Minor (1 season),tiscar-espadas,1,1,0,N,n,
T8-Minor (1 season),vera-wang,1,1,0,N,n,
T8-Minor (1 season),vogue-world,1,1,0,N,n,
T8-Minor (1 season),we11done,1,1,0,N,n,
T8-Minor (1 season),winnie,1,0,1,N,n,
T8-Minor (1 season),wolk-morais,1,1,0,N,n,
T8-Minor (1 season),yeohlee,1,1,0,N,n,
T8-Minor (1 season),zadig-voltaire,1,1,0,N,n,
T8-Minor (2-3 seasons),032c,3,0,3,N,n,
T8-Minor (2-3 seasons),3paradis,3,0,3,N,n,
T8-Minor (2-3 seasons),5000,3,3,0,N,n,
T8-Minor (2-3 seasons),aaron-esh,3,3,0,N,n,
T8-Minor (2-3 seasons),alexis-mabille,3,3,0,N,n,
T8-Minor (2-3 seasons),axel-arigato,3,1,2,N,n,
T8-Minor (2-3 seasons),bcbg-max-azria,3,3,0,N,n,
T8-Minor (2-3 seasons),bianca-saunders,3,1,2,N,n,
T8-Minor (2-3 seasons),bronx-and-banco,3,3,0,N,n,
T8-Minor (2-3 seasons),calvin-klein-collection,3,3,0,N,n,
T8-Minor (2-3 seasons),chocheng,3,3,0,N,n,
T8-Minor (2-3 seasons),christopher-john-rogers,3,3,0,N,n,
T8-Minor (2-3 seasons),connor-mcknight,3,3,0,N,n,
T8-Minor (2-3 seasons),danielle-frankel,3,3,0,N,n,
T8-Minor (2-3 seasons),del-core,3,3,0,N,n,
T8-Minor (2-3 seasons),derek-lam-10-crosby,3,3,0,N,n,
T8-Minor (2-3 seasons),derrick,3,0,3,N,n,
T8-Minor (2-3 seasons),dilara-findikoglu,3,3,0,N,n,
T8-Minor (2-3 seasons),duckie-brown,3,0,3,N,n,
T8-Minor (2-3 seasons),durazzi,3,3,0,N,n,
T8-Minor (2-3 seasons),edward-cuming,3,2,1,N,n,
T8-Minor (2-3 seasons),elder-statesman,3,3,0,N,n,
T8-Minor (2-3 seasons),elisabetta-franchi,3,3,0,N,n,
T8-Minor (2-3 seasons),enfants-riches-deprimes,3,3,0,N,n,
T8-Minor (2-3 seasons),etudes,3,0,3,N,n,
T8-Minor (2-3 seasons),heirlome,3,3,0,N,n,
T8-Minor (2-3 seasons),heliot-emil,3,3,0,N,n,
T8-Minor (2-3 seasons),hugo-boss,3,3,0,N,n,
T8-Minor (2-3 seasons),im-men,3,0,3,N,n,
T8-Minor (2-3 seasons),jitrois,3,3,0,N,n,
T8-Minor (2-3 seasons),julie-kegels,3,3,0,N,n,
T8-Minor (2-3 seasons),k-krizia,3,3,0,N,n,
T8-Minor (2-3 seasons),lorena-antoniazzi,3,3,0,N,n,
T8-Minor (2-3 seasons),magda-butrym,3,3,0,N,n,
T8-Minor (2-3 seasons),mains,3,3,0,N,n,
T8-Minor (2-3 seasons),maisie-wilen,3,3,0,N,n,
T8-Minor (2-3 seasons),maison-martin-margiela,3,3,0,N,n,
