Layer,Zoning,Brand_Slug,Total_Products,Sport_Pct,Apparel_Pct,Acc_Pct,Category_Count,Top_Count,Outer_Count,Bottom_Count,Dress_Count,Bag_Count,Shoes_Count,Categories,Selected(Y/N),Notes
Layer 2,글로벌 캐주얼,mlb,125,12.8,67.2,951.2,6,0,76,0,8,21,181,"가방, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,디자이너/컨템,placestudio,121,33.1,1043.8,0,5,164,665,58,376,0,0,"바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",y,
Layer 1,디자이너/컨템,codegraphy,117,1.7,847,30.8,7,89,821,77,4,3,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,espionage,114,0,1012.3,116.7,4,15,1103,36,0,0,0,"바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,untapped,106,0,2250.9,0,3,1113,529,744,0,0,0,"바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,covernat,105,0,544.8,340,6,158,413,1,0,262,61,"가방, 바지, 상의, 신발, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,sculptor,101,5,307.9,178.2,7,141,84,22,64,168,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,filluminate,101,0,1180.2,0,3,386,543,263,0,0,0,"바지, 상의, 아우터",y,
Layer 1,디자이너/컨템,ladyvolume,90,21.1,498.9,6.7,7,1,295,3,150,2,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,글로벌 캐주얼,jeep,90,1.1,1600,14.4,6,852,580,8,0,5,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,secondmonolgue,90,0,655.6,0,3,122,424,44,0,0,0,"바지, 상의, 아우터",y,
Layer 1,디자이너/컨템,flareup,86,0,707,195.3,5,122,136,66,284,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,maninstore,85,0,1209.4,0,3,268,712,48,0,0,0,"바지, 상의, 아우터",n,
Layer 1,디자이너/컨템,avan,84,6,677.4,53.6,6,91,72,148,258,0,0,"바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,SPA/매스,giordano,81,28.4,574.1,27.2,6,210,113,134,8,22,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,brenson,80,0,1673.8,0,3,687,225,427,0,0,0,"바지, 상의, 아우터",n,
Layer 2,글로벌 캐주얼,dickies,79,0,1208.9,113.9,5,28,156,771,0,58,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,excontainer,78,0,782.1,76.9,5,83,351,164,12,60,0,"가방, 바지, 상의, 아우터, 원피스/스커트",n,
Layer 1,캐주얼/스트리트,outstanding,78,0,829.5,5.1,5,19,547,81,0,2,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,v2,76,0,839.5,38.2,4,17,606,15,0,0,0,"바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,partimentowomen,74,0,518.9,20.3,5,67,28,19,270,15,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,aakam,73,2.7,749.3,454.8,6,32,371,144,0,52,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,thebarnnet,70,0,250,78.6,7,26,58,47,44,44,4,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,bronson,69,0,1271,15.9,5,608,202,67,0,8,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,mindbridge,69,0,902.9,13,4,290,290,43,0,9,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,lemainsecond,69,0,2281.2,0,3,570,280,724,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,doffjason,67,0,1103,113.4,3,0,739,0,0,63,13,"가방, 신발, 아우터",y,
Layer 1,캐주얼/스트리트,signature,66,0,1731.8,0,3,83,200,860,0,0,0,"바지, 상의, 아우터",n,
Layer 1,디자이너/컨템,thecoldestmoment,64,0,571.9,367.2,6,62,167,121,16,163,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,ghostrepublic,64,0,957.8,0,3,360,49,204,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,hyojinoriko,64,0,757.8,167.2,4,133,235,117,0,107,0,"가방, 바지, 상의, 아우터",y,
Layer 1,디자이너/컨템,misekiseoul,62,0,490.3,172.6,6,31,12,57,204,75,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,hugyourskin,62,0,445.2,135.5,6,11,71,4,190,4,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,takeasy,62,0,822.6,0,3,309,186,15,0,0,0,"바지, 상의, 아우터",n,
Layer 1,디자이너/컨템,costumeoclock,61,0,1103.3,0,4,82,410,109,72,0,0,"바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,디자이너/컨템,someplace,61,0,1080.3,0,4,48,342,167,102,0,0,"바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,brownbreath,60,5,478.3,115,6,239,39,9,0,5,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,whoau,59,0,652.5,18.6,6,31,308,34,12,7,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,스트리트워크웨어
Layer 1,캐주얼/스트리트,suare,58,0,2027.6,0,3,750,353,73,0,0,0,"바지, 상의, 아우터",y,
Layer 1,디자이너/컨템,illigo,58,0,534.5,206.9,6,38,171,13,88,62,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,leathery,57,0,628.1,612.3,6,29,228,85,16,265,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,wkndrs,57,0,601.8,80.7,4,18,256,69,0,0,0,"바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,tansanmagnesium,55,0,512.7,440,5,221,50,11,0,19,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,urbandtype,55,0,874.5,16.4,5,41,251,189,0,3,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,pleasenofollow,55,3.6,381.8,0,5,130,12,16,52,0,0,"바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,frizmworks,54,0,1016.7,0,2,1,548,0,0,0,0,"상의, 아우터",y,
Layer 1,캐주얼/스트리트,coor,54,0,496.3,3.7,4,57,206,5,0,2,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,millo,53,0,798.1,237.7,5,100,281,42,0,114,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,1993studio,52,0,628.8,132.7,5,91,221,15,0,23,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,chicks,52,0,592.3,153.8,6,135,58,23,92,50,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,compagno,52,0,848.1,294.2,4,192,247,2,0,0,0,"바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,not4nerd,52,0,544.2,94.2,5,64,190,27,2,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,siegfahrenheit,52,0,421.2,0,1,0,219,0,0,0,0,아우터,n,
Layer 1,디자이너/컨템,urago,52,0,650,34.6,5,48,157,15,118,18,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,디자이너/컨템,marieclaire,52,0,269.2,78.8,6,35,37,2,66,4,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,rolarola,52,5.8,382.7,96.2,7,61,82,16,40,26,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,nomanual,51,0,441.2,435.3,5,31,193,1,0,28,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,alyss,51,0,900,268.6,4,171,272,16,0,137,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,kaneitei,49,0,536.7,412.2,4,215,42,6,0,202,0,"가방, 바지, 상의, 아우터",y,
Layer 2,글로벌 캐주얼,calvinkleinjeans,49,0,120.4,342.9,7,16,31,8,4,81,34,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,partimento,48,0,779.2,118.8,4,5,369,0,0,2,0,"가방, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,somewherebutter,48,12.5,470.8,327.1,7,2,80,128,16,103,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 2,글로벌 캐주얼,levis,47,0,448.9,31.9,5,2,106,97,6,15,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,디자이너/컨템,amesworldwide,47,34,512.8,155.3,7,115,118,6,2,25,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,aeae,47,0,204.3,570.2,5,5,37,0,54,40,0,"가방, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,kiimuir,47,0,976.6,0,3,68,375,16,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,lmood,46,0,558.7,2.2,3,39,218,0,0,1,0,"가방, 상의, 아우터",y,
Layer 1,디자이너/컨템,etreausommet,45,0,446.7,68.9,7,13,57,44,87,5,2,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,디자이너/컨템,gubin,45,0,313.3,2.2,5,17,97,21,6,0,1,"바지, 상의, 신발, 아우터, 원피스/스커트",n,
Layer 1,캐주얼/스트리트,yale,45,6.7,926.7,148.9,6,177,240,0,0,60,6,"가방, 상의, 스포츠/레저, 신발, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,khakipoint,44,0,695.5,2.3,5,83,102,17,104,1,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,디자이너/컨템,letterfrommoon,44,0,515.9,0,3,70,69,0,88,0,0,"상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,hooves,42,0,1302.4,0,3,211,326,10,0,0,0,"바지, 상의, 아우터",n,
Layer 1,디자이너/컨템,lifework,42,0,326.2,35.7,5,0,45,80,12,3,0,"가방, 바지, 아우터, 원피스/스커트, 패션소품",y,스트리트워크웨어
Layer 1,디자이너/컨템,poloralphlauren,42,26.2,419,195.2,6,75,95,0,6,8,0,"가방, 상의, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,againstallodds,41,0,2148.8,0,3,119,330,432,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,lmc,41,0,404.9,104.9,5,36,120,10,0,4,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,satur,41,0,463.4,22,4,65,125,0,0,8,0,"가방, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,vanake,41,0,326.8,2.4,4,0,17,41,76,0,0,"바지, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,디자이너/컨템,penfield,40,12.5,617.5,45,6,0,94,131,22,15,0,"가방, 바지, 스포츠/레저, 아우터, 원피스/스커트, 패션소품",y,스트리트워크웨어
Layer 1,캐주얼/스트리트,leire,40,0,1077.5,0,3,112,232,87,0,0,0,"바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,xtonz,40,0,402.5,447.5,5,6,142,13,0,62,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,디자이너/컨템,millowomen,40,0,297.5,287.5,4,0,3,8,108,0,0,"바지, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,디자이너/컨템,ason,40,0,425,307.5,6,35,30,33,72,70,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,mongdol,39,7.7,635.9,28.2,7,55,126,21,46,0,5,"바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,lettercomo,39,0,1059,0,2,16,397,0,0,0,0,"상의, 아우터",y,
Layer 1,여성 캐주얼,markgonzales,39,0,266.7,279.5,6,6,93,3,2,97,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,스트리트워크웨어
Layer 1,캐주얼/스트리트,unionblue,38,0,373.7,0,2,100,42,0,0,0,0,"상의, 아우터",y,
Layer 2,글로벌 캐주얼,champion,38,10.5,228.9,165.8,7,9,77,1,0,6,12,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,asp,38,0,478.9,0,3,121,28,33,0,0,0,"바지, 상의, 아우터",y,
Layer 1,여성 캐주얼,badblood,38,42.1,568.4,18.4,6,46,150,18,2,7,0,"가방, 바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,deinet,38,0,92.1,584.2,7,1,11,9,14,144,70,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,graver,37,0,470.3,24.3,5,48,119,7,0,6,0,"가방, 바지, 상의, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,themuseumvisitor,37,0,364.9,356.8,6,21,84,0,30,59,5,"가방, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,massimodutti2,37,0,181.1,327,4,14,9,0,44,121,0,"가방, 상의, 아우터, 원피스/스커트",y,layer2 글로벌브랜드로
Layer 1,캐주얼/스트리트,hondaxphyps,37,13.5,1073,0,3,0,340,57,0,0,0,"바지, 스포츠/레저, 아우터",n,
Layer 1,캐주얼/스트리트,left,36,0,897.2,0,2,1,322,0,0,0,0,"상의, 아우터",y,
Layer 1,캐주얼/스트리트,scallywag,36,0,1494.4,0,3,54,23,461,0,0,0,"바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,creamsodalab,36,0,1213.9,127.8,4,150,76,211,0,46,0,"가방, 바지, 상의, 아우터",y,
Layer 1,여성 캐주얼,typeservice,35,0,340,648.6,4,13,56,0,50,0,0,"상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,niceghostclub,35,0,460,411.4,6,7,93,27,34,38,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,스트리트워크웨어
Layer 1,여성 캐주얼,nastyfancyclub,35,0,254.3,482.9,6,33,35,11,10,122,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,jemut,35,0,931.4,0,3,171,146,9,0,0,0,"바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,magoodgan,34,0,420.6,117.6,4,0,63,80,0,1,0,"가방, 바지, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,michikolondon,34,5.9,729.4,0,5,39,79,24,106,0,0,"바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,xtonzwoman,34,0,382.4,64.7,5,13,76,33,8,22,0,"가방, 바지, 상의, 아우터, 원피스/스커트",n,
Layer 1,여성 캐주얼,twee,34,0,608.8,14.7,5,7,21,7,172,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,moodinsidewoman,33,0,845.5,0,3,0,199,12,68,0,0,"바지, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,treemingbird,33,0,193.9,45.5,5,8,24,0,32,0,2,"상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,maisonmined,32,0,193.8,534.4,4,39,21,0,2,171,0,"가방, 상의, 아우터, 원피스/스커트",y,스트리트워크웨어
Layer 1,여성 캐주얼,vivacious,32,0,450,71.9,5,23,39,14,68,23,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,nautica,32,3.1,706.3,115.6,5,22,198,6,0,0,0,"바지, 상의, 스포츠/레저, 아우터, 패션소품",y,
